CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavouriteCategory,LastPurchaseDate,FavouritePaymentMethod,FrequencyOfWebsiteVisits,Churn
46251,37,Male,San Francisco,Silver,97,10184,Home,2022-05-23,PayPal,71.0,0
13593,49,Female,Miami,Silver,63,12223,Home,2023-04-15,Credit Card,112.0,1
28805,19,Male,Los Angeles,Silver,36,9557,Books,2023-09-13,Credit Card,34.0,0
28961,55,Male,Miami,Gold,178,14473,Books,2023-06-18,Credit Card,136.0,0
12163,67,Male,Miami,Gold,124,13421,Books,2023-07-08,Credit Card,101.0,0
28248,48,Male,Chicago,Silver,52,9668,Home,2023-09-12,PayPal,80.0,1
6761,46,Female,Los Angeles,Silver,181,10255,Clothing,2021-11-29,Cash,40.0,0
17018,21,Male,Los Angeles,Platinum,163,18940,Books,2023-06-27,Credit Card,142.0,0
11462,32,Female,Los Angeles,Silver,105,9293,Books,2023-02-27,Cash,102.0,0
43388,32,Female,Miami,Platinum,244,20274,Clothing,2023-07-07,Cash,114.0,0
39199,46,Male,San Francisco,Silver,62,10657,Books,2023-03-18,Credit Card,94.0,0
3843,43,Male,Los Angeles,Silver,156,12807,Books,2022-02-12,Credit Card,107.0,0
49593,24,Male,Miami,Platinum,296,27087,Books,2022-12-19,PayPal,139.0,1
34772,51,Male,Chicago,Platinum,382,25300,Books,2022-11-30,Credit Card,143.0,0
47326,39,Male,San Francisco,Gold,44,15063,Clothing,2023-06-23,Cash,160.0,0
24270,60,Male,Chicago,Gold,84,15682,Clothing,2023-06-19,Credit Card,,1
25638,64,Female,San Francisco,Gold,77,13795,Books,2023-02-02,PayPal,82.0,0
44610,68,Male,Miami,Platinum,348,18647,Clothing,2023-05-08,Credit Card,41.0,0
42239,67,Male,New York,Platinum,214,18935,Clothing,2023-02-15,PayPal,127.0,0
36664,22,Female,San Francisco,Platinum,112,21018,Electronics,2023-07-19,Credit Card,197.0,1
23703,19,Female,Chicago,Gold,91,15488,Clothing,2022-07-07,Credit Card,67.0,1
6089,49,Male,Miami,Platinum,240,26384,Books,2023-05-23,Credit Card,231.0,0
34085,63,Male,San Francisco,Silver,280,11992,Books,2022-11-27,Cash,79.0,0
43154,41,Female,New York,Gold,92,15337,Books,2022-12-07,Cash,50.0,1
24260,27,Male,New York,Platinum,156,22782,Books,2022-09-21,Credit Card,200.0,0
15269,59,Female,Los Angeles,Platinum,149,18588,Home,2023-08-23,Credit Card,97.0,0
5241,30,Male,Los Angeles,Bronze,68,7361,Electronics,2022-09-02,Credit Card,31.0,1
3443,52,Female,Chicago,Platinum,139,21503,Electronics,2023-05-15,Credit Card,128.0,1
47413,61,Male,San Francisco,Gold,165,15889,Clothing,2023-08-12,Credit Card,78.0,1
39920,38,Female,San Francisco,Gold,68,16423,Clothing,2023-07-28,Credit Card,88.0,0
45933,23,Female,Los Angeles,Platinum,214,22295,Home,2023-02-04,Crypto,209.0,0
8969,28,Female,San Francisco,Bronze,18,7258,Books,2023-03-07,Credit Card,69.0,1
44809,30,Male,San Francisco,Gold,76,16519,Clothing,2022-08-29,Credit Card,44.0,0
6163,30,Male,New York,Silver,287,11004,Books,2023-04-25,Cash,81.0,0
2919,39,Male,Los Angeles,Platinum,109,32027,Books,2023-01-01,PayPal,214.0,0
33320,21,Male,Miami,Platinum,89,20949,Books,2023-07-31,Credit Card,229.0,1
19284,59,Female,Los Angeles,Gold,54,15953,Clothing,2023-06-19,Credit Card,,0
38226,46,Female,Miami,Gold,44,16404,Clothing,2021-11-30,Credit Card,137.0,0
7547,43,Male,New York,Platinum,208,25406,Home,2023-03-02,PayPal,94.0,0
18196,37,Male,Chicago,Gold,55,14353,Books,2023-07-10,Credit Card,93.0,0
14162,34,Male,San Francisco,Platinum,72,18328,Electronics,2023-02-03,Credit Card,170.0,0
8626,22,Male,New York,Platinum,304,24626,Clothing,2023-07-06,Crypto,268.0,0
28501,35,Male,San Francisco,Gold,85,17081,Books,2023-07-28,Cash,80.0,0
29635,30,Male,Chicago,Silver,26,10034,Clothing,2023-03-08,Cash,26.0,0
23422,36,Male,Chicago,Platinum,106,28875,Books,2023-06-18,Credit Card,60.0,0
46076,38,Male,New York,Gold,99,17316,Clothing,2023-07-23,Credit Card,102.0,0
13989,27,Female,Chicago,Silver,274,10726,Electronics,2022-10-07,PayPal,58.0,1
32384,66,Female,Miami,Platinum,135,27350,Clothing,2023-03-17,Credit Card,128.0,0
37881,52,Female,Chicago,Silver,268,10436,Home,2023-06-01,Credit Card,79.0,0
27922,47,Male,San Francisco,Silver,71,9520,Electronics,2023-08-22,Credit Card,33.0,0
35410,66,Male,San Francisco,Platinum,232,26351,Home,2022-12-18,Cash,281.0,0
14237,21,Female,San Francisco,Platinum,400,27172,Books,2023-08-18,Credit Card,304.0,0
40321,22,Male,San Francisco,Silver,93,9822,Books,2023-07-25,Credit Card,109.0,0
35059,66,Male,Miami,Gold,220,15631,Books,2023-01-06,Credit Card,,0
10461,59,Male,Los Angeles,Platinum,316,24416,Clothing,2023-08-16,Credit Card,169.0,0
24866,40,Female,New York,Silver,100,12626,Home,2023-05-05,Credit Card,103.0,0
2864,40,Female,San Francisco,Silver,62,9500,Clothing,2023-04-22,PayPal,111.0,0
48598,48,Female,Chicago,Platinum,140,18878,Books,2022-07-06,PayPal,150.0,0
30041,36,Male,San Francisco,Silver,36,9816,Electronics,2022-11-18,Cash,,1
18890,53,Male,Chicago,Gold,59,16824,Clothing,2023-08-02,Credit Card,,0
25798,70,Female,Chicago,Platinum,517,26771,Clothing,2023-03-02,PayPal,74.0,1
19511,39,Male,San Francisco,Silver,604,11685,Books,2023-07-15,Credit Card,97.0,1
